Abia,Umuahia,220000
Abuja,Apo District,666666.6667
Abuja,Asokoro,2050000
Abuja,Bwari,500000
Abuja,Central Business District,8300000
Abuja,Durumi,1125000
Abuja,Gudu,1750000
Abuja,Gwarinpa,941666.6667
Abuja,Jabi,1300000
Abuja,Jahi,1269230.769
Abuja,Jikwoyi,333333.3333
Abuja,Kado,750000
Abuja,Karu,509090.9091
Abuja,Katampe,1736000
Abuja,Kuje,250000
Abuja,Lokogoma,770689.6552
Abuja,Lugbe District,650000
Abuja,Mabushi,1250000
Abuja,Mararaba,600000
Abuja,Mbora,954545.4545
Abuja,Mpape,750000
Abuja,Pyakasa,433333.3333
Abuja,Wuye,1750000
Akwa Ibom,Ikot Ekpene,166666.6667
Akwa Ibom,Uyo,337205.8824
Anambra,Awka,368946.281
Anambra,Idemili,100000
Anambra,Nnewi,218181.8182
Anambra,Oyi,154375
Benue,Makurdi,45000
Cross River,Calabar,375000
Delta,Oshimili South,500000
Ebonyi,Abakaliki,325000
Edo,Benin City,271875
Edo,Ikpoba-Okha,197500
Enugu,Enugu ,369110.3203
Imo,Owerri,471428.5714
Kogi,Lokoja,375000
Kwara,Ilorin West,400000
Lagos,Agboyi,425000
Lagos,Agege,545000
Lagos,Ajah,735838.9262
Lagos,Alimosho,371052.6316
Lagos,Amuwo-Odofin,616666.6667
Lagos,Egbe Idimu,266666.6667
Lagos,Gbagada,1011111.111
Lagos,Ibeju,499951.4563
Lagos,Ifako-Ijaiye,600000
Lagos,Ikeja,1711428.571
Lagos,Ikorodu,167000
Lagos,Ikotun,235000
Lagos,Ikoyi,4057934.509
Lagos,Ipaja,336052.6316
Lagos,Isolo,569902.9126
Lagos,Kosofe,438095.2381
Lagos,Lagos,666666.6667
Lagos,Lekki,1434824.281
Lagos,Magodo,1085000
Lagos,Maryland,1123076.923
Lagos,Mushin,600000
Lagos,Ogba,500000
Lagos,Ogudu,520000
Lagos,Ojodu,586734.6939
Lagos,Surulere,525000
Lagos,Victoria Island,2981707.317
Ogun,Ado-Odo,90000
Ogun,Obafemi-Owode,278571.4286
Ogun,Sagamu,250000
Osun,Ede,70000
Osun,Osogbo,150000
Oyo,Ibadan,1444909.091
Oyo,Lagelu,166666.6667
Oyo,Oluyole,270000
Plateau,Jos,400000
Rivers,Ikwerre,250000
Rivers,Obio-Akpor,354104.4776
Rivers,Oyigbo,300000
Rivers,Port-Harcourt,619642.8571
